"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D8.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)","NA"
"15",15,0.00793646645129485,0.00456948068407887,0.00873812972920344,0.0193200849975966,0.000961995933490285,0.000561164294535999,8.01663277908571e-05,0.000641330622326858,0,0.0428088190403178,0.011136412890533,0.341715639755679
"16",16,0.00795382970366739,0.00457947770817215,0.00875724684545199,0.0193623531170085,0.000964100570141501,0.000562391999249209,8.03417141784585e-05,0.000642733713427669,0,0.0429024753712969,0.0113138605376873,0.353029500293366
"17",17,0.00822437269634271,0.00473524488577309,0.00905511741314502,0.0200209476749353,0.000996893660162752,0.000581521301761605,8.30744716802294e-05,0.000664595773441836,0,0.0443617678772426,0.0116025638483327,0.364632064141699
"18",18,0.00859586842725403,0.00494913636720688,0.00946413796536052,0.0209252958683659,0.00104192344572776,0.000607788676674527,8.68269538106468e-05,0.000694615630485176,0,0.0463655933348855,0.0118742831507325,0.376506347292432
"19",19,0.00891910459810978,0.00513524204133595,0.00982002425448453,0.0217121637186309,0.00108110358764967,0.000630643759462307,9.00919656374726e-05,0.000720735725099782,0,0.0481091096504104,0.0120593396470345,0.388565686939466
"20",20,0.00916849690945387,0.005278831553928,0.0100946077083886,0.0223192702543271,0.00111133295872168,0.000648277559254313,9.26110798934735e-05,0.000740888639147789,0,0.0494543166631149,0.0122627664949185,0.400828453434385
"21",21,0.00925419045349712,0.00532817026110442,0.0101889571659716,0.0225278777706344,0.00112172005496935,0.000654336698732119,9.34766712474456e-05,0.000747813369979566,0,0.049916542446136,0.0126173026981983,0.413445756132583
"22",22,0.00935718926818754,0.00538747260895648,0.0103023599013378,0.0227786122589212,0.00113420475978031,0.000661619443205179,9.45170633150257e-05,0.000756136506520207,0,0.0504721118102238,0.0129004058169776,0.42634616194956
"23",23,0.00952791237070952,0.00548576772859034,0.0104903277616903,0.0231942109226363,0.00115489846917691,0.000673690773686531,9.6241539098076e-05,0.000769932312784609,0,0.0513929818783726,0.0131603857126497,0.43950654766221
"24",24,0.00978563134869998,0.00563415138258485,0.0107740789596798,0.0238215874246131,0.00118613713317575,0.000691913327685857,9.88447610979796e-05,0.000790758088783838,0,0.0527831024263212,0.0134263658085568,0.452932913470767
"25",25,0.0100175035805279,0.00576765357666759,0.0110293726290661,0.02438604406977,0.0012142428582458,0.000708308333976719,0.000101186904853817,0.000809495238830538,0,0.0540338071919384,0.0136915595709285,0.466624473041696
"26",26,0.010258625485799,0.00590648134030853,0.0112948502823444,0.0249730175967431,0.00124346975585442,0.000725357357581747,0.000103622479654535,0.000828979837236284,0,0.055334404135522,0.0139566664869831,0.480581139528679
"27",27,0.0105271273880441,0.00606107334463146,0.0115904735888566,0.0256266434395821,0.00127601544097504,0.000744342340568773,0.000106334620081253,0.000850676960650029,0,0.0567826871233894,0.0142136148447604,0.494794754373439
"28",28,0.0109138019794642,0.00628370416999458,0.0120162062198142,0.0265679421924332,0.00132288508841991,0.000771682968244945,0.000110240424034992,0.00088192339227994,0,0.058868386434686,0.0143590073996502,0.509153761773089
"29",29,0.0112566305392031,0.0064810903104503,0.0123936639270014,0.027402504645939,0.00136444006535795,0.000795923371458806,0.00011370333877983,0.000909626710238638,0,0.0607175829084291,0.014431256587732,0.523585018360821
"30",30,0.0114567815124841,0.00659632874961209,0.0126140321703108,0.027889740853623,0.00138870078939202,0.000810075460478675,0.000115725065782668,0.000925800526261346,0,0.0617971851279448,0.0147563903464663,0.538341408707287
"31",31,0.0117853987837645,0.00678553263307656,0.0129758431053569,0.0286897081503763,0.00142853318591085,0.000833311025114662,0.000119044432159238,0.000952355457273902,0,0.063569726773033,0.0147843682796736,0.553125776986961
"32",32,0.011981521895553,0.00689845200046991,0.0131917766324775,0.0291671391598815,0.00145230568430945,0.000847178315847178,0.000121025473692454,0.000968203789539635,0,0.0646276029517707,0.0151504421804026,0.568276219167364
"33",33,0.0119703873612902,0.0068920412080156,0.0131795173977842,0.0291400338795045,0.00145095604379275,0.000846391025545771,0.000120913003649396,0.00096730402919517,0,0.0645675439487776,0.015796084937077,0.584072304104441
