"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D8.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"44",44,0.0151978055827575,0.00875025169916342,0.0167329374598037,0.0369966782368137,0.00184215825245545,0.00107459231393235,0.000153513187704621,0.00122810550163697,0.0819760422342677,0.0199078750626291,0.797893171608855
"45",45,0.0155169220291808,0.00893398541074047,0.0170842878907142,0.0377735172629553,0.00188083903384009,0.00109715610307339,0.000156736586153341,0.00125389268922673,0.0836973370058843,0.0202052669083935,0.818098438517248
"46",46,0.0160198717888355,0.00922356254508714,0.0176380406563947,0.0389978697081754,0.00194180264107097,0.0011327182072914,0.000161816886755914,0.00129453509404732,0.0864102175276584,0.0202686489929227,0.838367087510171
"47",47,0.0164850389941116,0.00949138608751883,0.0181501944480623,0.0401302464402111,0.0019981865447408,0.00116560881776547,0.000166515545395067,0.00133212436316054,0.0889193012409658,0.0201571294614763,0.858524216971647
"48",48,0.0168682989932995,0.00971205093553613,0.0185721675784813,0.0410632329028808,0.00204464230221812,0.00119270800962724,0.000170386858518177,0.00136309486814542,0.0909865824487067,0.0200702998578541,0.878594516829501
"49",49,0.0171962660908523,0.00990088047655136,0.0189332626656859,0.041861617453489,0.00208439588980028,0.0012158976023835,0.000173699657483357,0.00138959725986686,0.0927556170961126,0.020103493310266,0.898698010139767
"50",50,0.0174651337993066,0.0100556830965705,0.0192292887285296,0.0425161337942718,0.00211698591506747,0.00123490845045602,0.000176415492922289,0.00141132394337832,0.0942058732205027,0.0204910964491392,0.919189106588907
"51",51,0.0176844596850777,0.0101819616368629,0.0194707687441765,0.0430500483242801,0.00214357087091851,0.00125041634136913,0.000178630905909876,0.00142904724727901,0.0953889037558738,0.021122627068603,0.94031173365751
"52",52,0.0180383435880235,0.0103857129749227,0.0198603984959048,0.0439115232799362,0.0021864658894574,0.00127543843551681,0.000182205490788117,0.00145764392630494,0.0972977320808544,0.0211295512801006,0.96144128493761
"53",53,0.0183573720367203,0.010569396021142,0.0202116520404295,0.0446881480893899,0.00222513600445094,0.00129799600259638,0.000185428000370912,0.0014834240029673,0.0990185521980672,0.0212528230127788,0.982694107950389
"54",54,0.0185799251320697,0.0106975326517977,0.0204566852464202,0.0452299187558465,0.00225211213722057,0.00131373208004533,0.000187676011435047,0.00150140809148038,0.100218990106315,0.0219378558537551,1.00463196380414
"55",55,0.0189466104970095,0.0109086545285813,0.0208604095371116,0.0461225568664577,0.00229655884812237,0.00133965932807138,0.000191379904010197,0.00153103923208158,0.102196868741446,0.02187059179744,1.02650255560158
"56",56,0.0192908318877143,0.0111068426020174,0.0212394007652613,0.0469605099488804,0.00233828265305628,0.00136399821428283,0.00019485688775469,0.00155885510203752,0.104053578061005,0.0216050729798426,1.04810762858143
"57",57,0.0195841736332446,0.0112757363342924,0.021562372990138,0.0476746045011309,0.00237383922827207,0.00138473954982537,0.000197819935689339,0.00158255948551472,0.105635845658107,0.0218922125486341,1.06999984113006
