"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)","NA"
"28",28,0.0146210555631542,0.0122109914593375,0.0137453989387674,0.0097205918853937,0.00160670940254441,0.000321341880508882,0.0122109914593375,0,8.03354701272203e-05,0.0645174160591709,0.0211377414410425,0.616040664833236
"29",29,0.014842187101374,0.0123956727440046,0.0139532868848631,0.00986760790805632,0.00163100957157956,0.000326201914315911,0.0123956727440046,0,8.15504785789774e-05,0.065493189346777,0.0216405196361697,0.637681184469406
"30",30,0.015194432357893,0.0126898555956029,0.0142844361342609,0.0101017929412365,0.0016697178415267,0.00033394356830534,0.0126898555956029,0,8.34858920763346e-05,0.0670475199265046,0.0221336381814823,0.659814822650889
"31",31,0.0152634682178154,0.0127475119181755,0.0143493374289463,0.0101476904085476,0.00167730419975994,0.000335460839951988,0.0127475119181755,0,8.38652099879965e-05,0.0673521501413603,0.0225004280104896,0.682315250661378
"32",32,0.0153511825215433,0.01282076782019,0.014431798513385,0.010206005962125,0.00168694313423553,0.000337388626847106,0.01282076782019,0,8.43471567117762e-05,0.0677392015552278,0.0227649288944059,0.705080179555784
"33",33,0.0161553707704543,0.0134923975665332,0.0151878238396963,0.0107406585891482,0.00177531546928069,0.000355063093856137,0.0134923975665332,0,8.8765773464034e-05,0.071287792668966,0.0235805885634213,0.728660768119205
"34",34,0.0169201596006884,0.0141311223038716,0.0159068093828449,0.011249117097161,0.00185935819787784,0.000371871639575568,0.0141311223038716,0,9.29679098938917e-05,0.0746625284357847,0.024141946211199,0.752802714330404
"35",35,0.0175764979065376,0.0146792729768885,0.0165238395154317,0.0116854738829178,0.0019314832864327,0.00038629665728654,0.0146792729768885,0,9.65741643216346e-05,0.0775587113667051,0.0244864366252242,0.777289150955628
"36",36,0.0180941400630249,0.0151115895031856,0.0170104800262833,0.0120296205913517,0.00198836703989285,0.000397673407978569,0.0151115895031856,0,9.9418351994642e-05,0.0798428784868973,0.0248469011869513,0.80213605214258
"37",37,0.0182936513962488,0.0152782143529111,0.017198042603836,0.0121622627414621,0.00201029136222514,0.000402058272445028,0.0152782143529111,0,0.000100514568111256,0.0807232496501504,0.0256188666438394,0.827754918786419
"38",38,0.018652406502291,0.0155778340019134,0.0175353118271538,0.0124007757515231,0.00204971500025176,0.000409943000050351,0.0155778340019134,0,0.000102485750012587,0.0823063058351093,0.0261860457168979,0.853940964503317
"39",39,0.0188402971634567,0.0157347536749748,0.0177119496959749,0.0125256920702102,0.00207036232565458,0.000414072465130915,0.0157347536749748,0,0.000103518116282728,0.0831353991866595,0.0267803989355666,0.880721363438884
"40",40,0.0192603553844893,0.0160855715299032,0.0181068505839897,0.0128049615468308,0.0021165225697241,0.00042330451394482,0.0160855715299032,0,0.000105826128486205,0.0849889637872713,0.0273203768819604,0.908041740320844
"41",41,0.0198669874191017,0.0165922092730959,0.0186771513593862,0.0132082718555566,0.00218318543067051,0.000436637086134103,0.0165922092730959,0,0.000109159271533525,0.0876658109685745,0.0278341868260531,0.935875927146897
"42",42,0.0204267224368814,0.0170596802769559,0.0192033637854418,0.0135804033783662,0.00224469477328367,0.000448938954656733,0.0170596802769559,0,0.000112234738664183,0.0901357186212056,0.0283174379638433,0.96419336511074
"43",43,0.0209687613874871,0.0175123721477914,0.019712939963731,0.0139407699334392,0.00230425949313045,0.00046085189862609,0.0175123721477914,0,0.000115212974656522,0.0925275399466531,0.0287838562322426,0.992977221342983
"44",44,0.0216822827107729,0.01810828006614,0.0203837284165562,0.0144151440000193,0.00238266842975526,0.000476533685951052,0.01810828006614,0,0.000119133421487763,0.0956760507968225,0.0289251865771309,1.02190240792011
"45",45,0.0222327826603256,0.0185680382657664,0.0209012588636358,0.014781135724722,0.00244316292970611,0.000488632585941222,0.0185680382657664,0,0.000122158146485305,0.0981052074423488,0.029208518018242,1.05111092593836
