"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"49",49,0.0302670651813021,0.0252779885030655,0.0284543673215427,0.0201226092688876,0.0033260511188244,0.00066521022376488,0.0252779885030655,0,0.133557582676394,0.0451359666656796,1.48431600189644
"50",50,0.0316535920375443,0.0264359669764106,0.029757854931999,0.0210444210799058,0.00347841670742245,0.00069568334148449,0.0264359669764106,0,0.139675822886548,0.0462383133236568,1.5305543152201
"51",51,0.0328357294230937,0.0274232465511552,0.0308691939796227,0.0218303475834854,0.00360832191462568,0.000721664382925136,0.0274232465511552,0,0.144892166481794,0.046935177250041,1.57748949247014
"52",52,0.0337585734553362,0.0281939734352258,0.0317367687813627,0.0224438867477785,0.00370973334674024,0.000741946669348048,0.0281939734352258,0,0.148964342538354,0.0476111542754532,1.62510064674559
"53",53,0.0340880059373462,0.0284691038597616,0.0320464715158238,0.0226629050462576,0.00374593471838969,0.000749186943677937,0.0284691038597616,0,0.150418008616938,0.048866641954254,1.67396728869984
"54",54,0.0347108679105993,0.028989296276984,0.0326320302170523,0.0230770055889149,0.00381438108907684,0.000762876217815368,0.028989296276984,0,0.15316647263188,0.0498247735385367,1.72379206223838
"55",55,0.0350144192781051,0.029242811704791,0.0329174018598009,0.0232788172123666,0.00384773838220935,0.000769547676441869,0.029242811704791,0,0.154505934737616,0.0507645400031073,1.77455660224149
"56",56,0.0357469786209796,0.0298546195076313,0.0336060881431297,0.0237658484238381,0.00392823940889885,0.000785647881779771,0.0298546195076313,0,0.157738453464333,0.0516865128767541,1.82624311511824
"57",57,0.0368237586252037,0.0307539083023679,0.0346183796745733,0.0244817296354376,0.00404656688189051,0.000809313376378103,0.0307539083023679,0,0.162489893142314,0.0526241078704341,1.87886722298868
"58",58,0.0378122861698421,0.0315794917462418,0.035547704195934,0.0251389375085214,0.00415519628240023,0.000831039256480046,0.0315794917462418,0,0.166851906719781,0.0534918595850855,1.93235908257376
"59",59,0.0387668299605772,0.0323766931538887,0.036445080254147,0.0257735517869772,0.00426009120445903,0.000852018240891806,0.0323766931538887,0,0.171063962315052,0.0543227563675977,1.98668183894136
"60",60,0.0400368487249941,0.0334373681659291,0.0376390374552004,0.026617904921562,0.0043996537060433,0.00087993074120866,0.0334373681659291,0,0.176668094566169,0.0546723341685363,2.0413541731099
"61",61,0.0410067769815497,0.0342474181384371,0.0385508766018854,0.0272627473338874,0.00450623922874172,0.000901247845748344,0.0342474181384371,0,0.180948036230124,0.0552035307983607,2.09655770390826
"62",62,0.0418729358154741,0.0349708035381982,0.0393651610880638,0.027838600185013,0.00460142151818397,0.000920284303636793,0.0349708035381982,0,0.184770081062677,0.055921375750624,2.15247907965888
"63",63,0.0428148180177539,0.0357574304324098,0.0402506338617455,0.028464796594221,0.00470492505689603,0.000940985011379205,0.0357574304324098,0,0.18892626565966,0.0563323126894494,2.20881139234833
"64",64,0.0433919676221849,0.0362394454866599,0.0407932179129441,0.0288485059466174,0.00476834809034998,0.000953669618069997,0.0362394454866599,0,0.191473017568004,0.0579569018491903,2.26676829419752
