"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)","NA"
"27",27,0.0138696030012177,0.0115834047043137,0.0130389509533426,0.00922099979751289,0.00152413219793601,0.000304826439587203,0.0115834047043137,0,7.62066098968004e-05,0.0612015284081206,0.0193554267226223,0.580386089676792
"28",28,0.014297846569498,0.0119410586734269,0.0134415469672588,0.00950571118082009,0.00157119193071406,0.000314238386142812,0.0119410586734269,0,7.85595965357028e-05,0.0630912119778232,0.0196656153373342,0.600051705014127
"29",29,0.014474968055368,0.0120889843099777,0.0136080606278762,0.00962346777307436,0.00159065583026022,0.000318131166052045,0.0120889843099777,0,7.95327915130109e-05,0.0638727848640993,0.0203116779236235,0.62036338293775
"30",30,0.0147786513538443,0.0123426099218919,0.0138935563002349,0.00982536710887451,0.00162402762130157,0.000324805524260314,0.0123426099218919,0,8.12013810650782e-05,0.0652128291333646,0.0207923382862399,0.64115572122399
"31",31,0.0149472522928506,0.0124834194973258,0.0140520597104766,0.00993745894195015,0.00164255519701655,0.000328511039403311,0.0124834194973258,0,8.21277598508273e-05,0.0659568039361997,0.0212987856850494,0.662454506909039
"32",32,0.0153004694723765,0.0127784140648419,0.0143841226743056,0.0101722901437228,0.00168137027168972,0.000336274054337945,0.0127784140648419,0,8.40685135844858e-05,0.0675154232597008,0.0217586895775273,0.684213196486567
"33",33,0.01580262935023,0.0131978003364559,0.0148562081418921,0.0105061436888892,0.00173655267584945,0.000347310535169891,0.0131978003364559,0,8.68276337924723e-05,0.0697312726987348,0.0221950968418638,0.706408293328431
"34",34,0.01626826121249,0.0135866796939477,0.0152939532607529,0.0108157121247873,0.00178772101236154,0.000357544202472307,0.0135866796939477,0,8.93860506180765e-05,0.0717859372513775,0.0226081580366143,0.729016451365045
"35",35,0.0167204743224049,0.0139643521813492,0.0157190832778213,0.0111163593022582,0.00183741476070384,0.000367482952140767,0.0139643521813492,0,9.18707380351915e-05,0.0737813897160626,0.023008381370081,0.752024832735126
"36",36,0.0173102206901568,0.0144568876093617,0.0162735096708012,0.0115084434258735,0.00190222205386338,0.000380444410772676,0.0144568876093617,0,9.51111026931687e-05,0.0763837265728841,0.0231419191929359,0.775166751928062
"37",37,0.0177702573784175,0.0148410940742827,0.0167059947112485,0.0118142919933435,0.00195277553608983,0.000390555107217967,0.0148410940742827,0,9.76387768044912e-05,0.0784137016516872,0.0233930301901544,0.798559782118216
"38",38,0.0181857524784656,0.0151881009710262,0.017096605764096,0.0120905277466722,0.00199843433829293,0.000399686867658585,0.0151881009710262,0,9.99217169146459e-05,0.0802471308541524,0.0237470184429407,0.822306800561157
